+-------------------------------+-------------+-------------+-----------------------+--------------+-----------------------+-----------+----------------+-----+-------+-------------------+---------------+---------------+
|              site             |  analytics  | web-servers | javascript-frameworks | tag-managers | programming-languages | databases | web-frameworks | cms | blogs | operating-systems | miscellaneous | video-players |
|         hairymale.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         lovelymen.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         locovideo.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          babedvd.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          solotuya.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        juicybikini.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       jigolopartner.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           sepck.com           | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|      blondedirectory.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         rudesluts.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        sizzlingxxx.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        drunkamateur.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|      contactswingers.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         manekicat.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         teasecash.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       nastypornstars.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        mycamprofile.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        britishbear.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         beastdrive.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         privatxcam.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         harderthan.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        freegallerys.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         elitepussy.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       businessteens.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|       kickinthecunt.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          omejohan.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          pornfive.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         xxxnaruto.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         sexytrash.com         |             |    Nginx    |                       |              |                       |           |                |     |       |                   |               |               |
|           asksiz.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          sexmann.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|            sek1.com           | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        onlineloving.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        festivevideo.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        maturecherry.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         azdiricitr.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|            u032.com           | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         slutchoker.com        |             |             |                       |              |                       |           |                |     |       |                   |               |               |
|       manageraufzeit.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         souslajupe.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           sextm.com           | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           de-cul.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          fitbums.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           smsrc.com           | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|     mujeresorientales.com     | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         pinkcrack.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|     mistressdominatrix.com    | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          maroads.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        briannalane.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|      discretesextoys.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       thinkerspoint.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           spsexy.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          hayamin.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       truestarmedia.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         sexxxporn.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          inchrome.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         awayaround.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|      singsongkaraoke.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          all-zen.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         envyfloral.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       rychly-prachy.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|          pornotut.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|         sasahanda.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|          girliex.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       platinumpussy.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        mangayhentai.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|         feetfinder.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|      sex-toys-for-men.com     | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          donlarge.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          tdfgirls.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|          sexiaoge.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|   anonymousproxysurfing.com   | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         plusanime.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          artadult.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        bikini-girl.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           kejkj.com           | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|      wisatadiengtour.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           jpeep.com           | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         tinamodel.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         jp-server.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       amateursfrance.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          dorines.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          lmaodude.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        eroticfeeds.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         gaysprays.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         seosquads.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          pornexo.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|         aidenaspen.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          videsex.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         bisouserum.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       stayincognito.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        sexualmovies.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       realsexysluts.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         littleanal.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          mrktinc.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       toplessfishing.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       sexyhornysluts.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         pornbrazil.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         pussyvote.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       bestpornostars.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        enjoysextoys.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         coffeinum.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           semm8.com           | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          sexfuchs.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       amateureintim.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        hoteasysluts.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           sexven.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         vngservice.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|      realonlinegirls.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       scarletssecret.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         vipsvision.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          izledoy.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        nukepickles.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          ppornotv.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           sexraw.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       ashiheartland.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|          palporn.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       drydenmargoles.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          match99.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           txtyes.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|          thexgen.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           revsex.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          mikemen.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        goldenporno.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       bloominghouses.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         matureold.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        boobyprizes.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          germanx.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         latexbabe.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        femdomparty.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|         blacknips.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         chatadulte.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         superhunks.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|      winterpublishing.com     | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        beardedwomen.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           buuhia.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        freehqmovies.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           uleen.com           | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        boobmagazine.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          momsneed.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|     hatfieldconsulting.com    | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        boomboomthai.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          wellshit.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       spermaslikken.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        pleazurezone.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|      allsoftwarefree.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        ukphonesexx.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       toutsavoirsur.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         xxxjungle.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          computz.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          sexbound.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          airporno.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        sutekijoshi.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       pornosuseyret.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|          flatdog.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           immdev.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           goadi.com           | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        whiteshouse.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          sexjeux.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         diaperpoop.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|       lolitaskingdom.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         bussolaweb.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|      mujeresendirecto.com     | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        dirty-bitch.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|     xxxmoviestreaming.com     | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           esexa.com           | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           seswe.com           | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        bdsmfreeporn.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         encuentrox.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         bonkmygfs.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        ebonyecstasy.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|      feuchteschlampen.com     | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|     naughtyadultdating.com    | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          aziatka.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          guardoni.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           ganjt.com           | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        schizomovie.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
